ISO693-3,Range Size (km2),L1 Population,Island Endemic,Phoneme Inventory Size,Distance to Mainland,Distance to Continent
aaa,237.9168376,9000,FALSE,,0,0
aab,39.74887297,7000,FALSE,,0,0
aac,1109.64767,50,FALSE,,0,0
aad,63.88392598,830,FALSE,,0,0
aae,574.5043403,100000,FALSE,,0,0
aaf,78.67198282,200,FALSE,,0,0
aag,43.79372851,290,FALSE,,0,0
aai,192.3558238,3470,FALSE,,0,0
aak,250.6929864,1600,FALSE,19,0,0
aal,1529.391415,5000,FALSE,,0,0
aam,9212.011629,,FALSE,,0,0
aan,533.3120023,6,FALSE,,0,0
aao,1321585.242,,FALSE,,0,0
aap,5346.871946,340,FALSE,,0,0
aaq,37692.64167,1800,FALSE,19,0,0
aar,134557.5715,1379200,FALSE,25,0,0
aas,818.1030774,350,FALSE,,0,0
aat,8590.63801,50000,FALSE,,0,0
aau,1614.383297,7270,FALSE,17,0,0
aaw,990.8485482,2200,FALSE,,0,0
aax,4149.91216,10000,FALSE,,0,0
aay,3391.957529,,FALSE,,0,0
aaz,796.699093,70000,FALSE,,0,0
aba,4247.516469,170000,FALSE,,0,0
abb,422.3021144,12000,FALSE,,0,0
abc,74.61241762,1660,FALSE,,0,0
abd,21.60076001,3800,FALSE,,0,0
abe,361.4822082,14,FALSE,,0,0
abf,55.15943089,0,FALSE,,0,0
abg,79.27112343,5,FALSE,,0,0
abh,255.6800263,,FALSE,,0,0
abi,1132.686288,50500,FALSE,,0,0
abj,257.4257701,0,TRUE,,361141.1371,361141.1371
abk,4491.484006,105000,FALSE,36,0,0
abl,1838.01105,180000,FALSE,,0,0
abm,167.0389991,12500,FALSE,25,0,0
abn,434.9406094,25000,FALSE,37,0,0
abo,136.3567191,1000,FALSE,,0,0
abp,119.3023767,3000,FALSE,,0,0
abq,1274.26507,37800,FALSE,36,0,0
abr,14720.44693,1183000,FALSE,31,0,0
abs,589.1662468,,FALSE,,0,0
abt,1148.438033,44000,FALSE,24,0,0
abu,1116.497132,55100,FALSE,,0,0
abv,770.9476861,,FALSE,,0,0
abw,109.2344334,1160,FALSE,,0,0
abx,30.86787893,26400,TRUE,,9305.060444,1416387.463
aby,1393.388888,650,FALSE,,0,0
abz,619.773181,16000,TRUE,,31987.46765,625460.0625
aca,3436.250136,250,FALSE,,0,0
acb,4.515311254,,FALSE,,0,0
acc,1148.410112,,FALSE,26,0,0
acd,839.8624936,10400,FALSE,,0,0
ace,17513.32485,3500000,FALSE,,0,0
acf,1486.694118,,TRUE,,14369.27879,14369.27879
ach,33075.98399,1197000,FALSE,28,0,0
aci,351.4808957,0,TRUE,,292641.4351,292641.4351
ack,580.0511991,0,TRUE,,425322.0288,425322.0288
acl,597.6186084,0,TRUE,,361141.1371,361141.1371
acm,144593.6839,,FALSE,31,0,0
acn,1407.802625,62700,FALSE,,0,0
acp,1534.489664,5000,FALSE,,0,0
acq,107671.85,,FALSE,,0,0
acr,1721.363664,85600,FALSE,,0,0
acs,37725.69165,0,FALSE,,0,0
act,1304.74969,,FALSE,,0,0
acu,21531.5712,7000,FALSE,,0,0
acv,632.6177998,10,FALSE,35,0,0
acw,284550.0518,,FALSE,,0,0
acx,42075.99083,,FALSE,,0,0
acy,4.191333823,,TRUE,36,70405.42998,70405.42998
acz,13.8954338,9830,FALSE,,0,0
ada,4557.238529,800000,FALSE,33,0,0
add,124.8504977,2600,FALSE,,0,0
ade,1391.370206,27300,FALSE,,0,0
adf,2517.689251,,FALSE,,0,0
adg,19734.49005,10,FALSE,,0,0
adh,901.4536704,360000,FALSE,,0,0
adi,34821.72259,98090,FALSE,,0,0
adj,1449.869996,100000,FALSE,28,0,0
adl,674.7338859,30000,FALSE,,0,0
adn,64.25482901,3000,TRUE,,31987.46765,625460.0625
