ID,Name,Glottocode,Family,Macroarea,Latitude,Longitude,Sounds,Consonants,Vowels,Clusters,Diphthongs,LongConsonants,LongVowels,Ratio (cons : vow),Phonemes
fwee1238-852,Fwe,fwee1238,Atlantic-Congo,Africa,-17.72372,24.43151,60,50,10,0,0,0,3,5,bʷ d dz dʷ dʲʷ dʒ f fʷ h hʷ j k ǀ ǀʰ kʷ lʷ m mʲ mʷ n nʷ p pʷ rʷ s sʷ t tʷ tʃ v vʷ w z zʷ ŋ g gǀ gʷ ɱ ɲ ɻ ɻʲ ɻʷ ʃ ʃʷ ʒ ʒʷ β βʲ βʷ a aː i ĩ u uː ɔ ɔː ɛ ɛ̃
yeyi1239-853,Yeyi,yeyi1239,Atlantic-Congo,Africa,-18.9178,23.6088,88,75,13,0,0,0,5,5.769230769,b bʲ bʷ c cʰ cʷʰ d dz dzʷ dʲ dʷ dʒ f fʷ h hʷ j jʷ k ǀ ǀʰ ǀʷ ǀʷʰ ǃ ǃʰ kʰ kʲ kʷ kʷʰ m mʲ mʷ nʷ n̪ p pʰ pʲ pʲʰ pʷ r rʷ s ts tsʰ tsʷʰ tʰ tʲ tʷ tʷʰ tʃ tʃʰ t̪ v vʷ w z ŋ ŋʷ ɟ ɟʷ g gǀ gǃ gʲ gʷ ɱ ɲ ɲʷ ɻ ɻʲ ʃ ʃʷ ʒ β βʲ a aː i iː u uː ũ ɔ ɔː ɔ̃ ɛ ɛː ɛ̃
cavi1250-854,Cavineña,cavi1250,Pano-Tacanan,South America,-13.3544,-66.6277,24,20,4,0,0,0,0,5,b c d h j k kʷ m n p s t ts tɕ w ɕ ɟ ɲ ɹ ʎ a e i ʊ
cham1318-855,Chamicuro,cham1318,Arawakan,South America,-5.1149,-75.6778,29,19,10,0,0,0,5,1.9,h j k l m n p r s t ts tʃ w ç ɲ ʂ ʃ ʎ ʔ a aː e eː i iː o oː u uː
chec1245-856,Chechen,chec1245,Nakh-Daghestanian,Eurasia,43.5,45.5,44,32,12,0,0,2,6,2.666666667,b c d̪ h j k k̰ l m n p pʰ pʼ q qː q̰ r rʱ sː t̪ t̪ʰ t̪ʼ v x z ç ħ ɟ g ʒ ʔ ʕ a aː e eː i iː o oː u uː ʊ ʊː
chep1245-857,Chepang,chep1245,Sino-Tibetan,Eurasia,27.7206,84.9017,24,18,6,0,0,0,0,3,b dz d̪ h j k l̪ m n̪ p r s ts t̪ w ŋ g ʔ a e i o u ə
east2328-858,Eastern Mari,east2328,Uralic,Eurasia,55.8307,48.405,27,19,8,0,0,0,0,2.375,b d̪ j k l m n p s tʃ t̪ z ŋ g ɲ ɾ ʃ ʎ ʒ a e i o ö u ü ə
leal1235-859,Lealao Chinantec,leal1235,Otomanguean,North America,17.3162,-95.9265,35,28,7,0,0,0,0,4,b d dʲ f h hʲ j k kʲ kʷ l lʲ m n nʲ p r s t tʲ v ŋ g gʲ gʷ ɲ ʃ ʔ a e i o u ɨ ɵ
chol1282-860,Chol,chol1282,Mayan,North America,17.4897,-92.4698,26,20,6,0,0,0,0,3.333333333,b c cʼ h j k kʼ l m p pʼ s ts tsʼ tʲ tʼʲ w ɲ ʃ ʔ a e i o u ɨ
chra1242-861,Chrau,chra1242,Austroasiatic,Eurasia,10.8021,107.293,33,20,13,0,2,0,8,1.538461538,b c d h j k l m n p s t̪ w ŋ ɓ ɗ ɟ g ɲ ɽ aː eː i iaː iː oː uaː uː ɐ ɔː əː ɛ ɛː
